Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,20-07-2020 19:35,32.3182,-86.9023,68891,1291,29736,37864,1,1405.025509,585533,7782,1.87397483,84000001,USA,11941.89083,11.29610544
Alaska,US,20-07-2020 19:35,61.3707,-152.4044,1950,18,712,1220,2,266.5591317,173010,,0.923076923,84000002,USA,23649.94635,
American Samoa,US,20-07-2020 19:35,-14.271,-170.132,0,0,,0,60,0,1037,,,16,ASM,1863.733578,
Arizona,US,20-07-2020 19:35,33.7298,-111.4312,145183,2784,18149,124250,4,1994.623503,785979,6632,1.917579882,84000004,USA,10798.31789,4.568027937
Arkansas,US,20-07-2020 19:35,34.9697,-92.3731,33228,357,25292,7579,5,1101.065543,419171,2177,1.074395088,84000005,USA,13889.93454,6.551703383
California,US,20-07-2020 19:35,36.1162,-119.6816,387322,7718,,379604,6,980.2586911,6286852,,1.992657272,84000006,USA,15911.15742,
Colorado,US,20-07-2020 19:35,39.0598,-105.3111,40124,1752,4948,33424,8,696.7501202,435938,6019,4.366463962,84000008,USA,7570.029256,15.00099691
Connecticut,US,20-07-2020 19:35,41.5978,-72.7554,47893,4396,8466,35031,9,1343.314017,629969,10654,9.178794396,84000009,USA,17669.51721,22.24542209
Delaware,US,20-07-2020 19:35,39.3185,-75.5071,13519,523,7362,5634,10,1388.32407,152995,,3.868629336,84000010,USA,15711.71249,
Diamond Princess,US,20-07-2020 19:35,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,20-07-2020 19:35,38.8974,-77.0268,11339,579,1886,8874,11,1606.661859,147765,,5.106270394,84000011,USA,20937.33041,
Florida,US,20-07-2020 19:35,27.7663,-81.6868,360394,5072,,355322,12,1677.988701,3002641,21309,1.407348624,84000012,USA,13980.24848,5.91269555
Georgia,US,20-07-2020 19:35,33.0406,-83.6431,143129,3174,,139955,13,1348.05781,1255319,15010,2.217579945,84000013,USA,11823.19853,10.48704316
Grand Princess,US,20-07-2020 19:35,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,20-07-2020 19:35,13.4443,144.7937,319,5,222,92,66,194.2409684,18253,,1.567398119,316,GUM,11114.35861,
Hawaii,US,20-07-2020 19:35,21.0943,-157.4983,1381,24,1019,338,15,97.5370655,104635,140,1.737871108,84000015,USA,7390.145437,10.13758146
Idaho,US,20-07-2020 19:35,44.2405,-114.4788,14874,119,3989,10766,16,832.3144374,146186,583,0.800053785,84000016,USA,8180.228475,3.919591233
Illinois,US,20-07-2020 19:35,40.3495,-88.9861,163922,7494,,156428,17,1293.594662,2245686,,4.571686534,84000017,USA,17721.88859,
Indiana,US,20-07-2020 19:35,39.8494,-86.2583,57206,2825,40965,13416,18,849.7346863,626880,7895,4.938293186,84000018,USA,9311.64004,13.8009999
Iowa,US,20-07-2020 19:35,42.0115,-93.2105,39107,797,27894,10416,19,1239.497063,415491,,2.037998312,84000019,USA,13168.99467,
Kansas,US,20-07-2020 19:35,38.5266,-96.7265,22317,309,983,21025,20,766.0348318,249353,1453,1.384594704,84000020,USA,8559.084259,6.510731729
Kentucky,US,20-07-2020 19:35,37.6681,-84.6701,23161,670,6824,15667,21,518.4130531,490201,2875,2.892793921,84000021,USA,10972.17724,12.41310824
Louisiana,US,20-07-2020 19:35,31.1695,-91.8678,94892,3572,53288,38032,22,2041.217572,1069304,,3.764279391,84000022,USA,23001.75056,
Maine,US,20-07-2020 19:35,44.6939,-69.3819,3711,117,3148,446,23,276.0725243,137437,375,3.152789006,84000023,USA,10224.35449,10.10509297
Maryland,US,20-07-2020 19:35,39.0639,-76.8021,78685,3382,5344,69959,24,1301.507854,739785,11841,4.298150855,84000024,USA,12236.58877,15.04861155
